Postcode	age18_24	age25_34	age35_54	age_55	genderMale	employed	selfEmployed	student	eduLower	eduMid	eduUni	license	commuteBike	commutePT	commuteNS	distWork	usedUber	hhSize	hhChild	nbrCarHH	incLevel_30k	incLevel30_60k	incLevel60k	csMember	choice
3039	0	0	1	0	1	1	0	0	0	0	1	1	1	0	0	2	0	3	1	2	0	0	1	0	0
1071	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	5	0	4	2	2	0	1	0	1	3
3511	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	2	0	2	0	1	0	1	0	0	3
2581	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	6	0	3	1	2	1	0	0	0	1
2545	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	3	0	3	1	3	0	0	1	0	4
1078	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	1	0	0	0	2
3067	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	5	0	4	2	3	0	0	1	0	4
2516	0	1	0	0	1	0	1	0	1	0	0	0	1	1	1	5	1	1	0	1	0	0	0	0	0
1096	1	0	0	0	1	0	0	1	0	1	0	1	0	1	0	2	0	1	0	1	1	0	0	0	0
2566	1	0	0	0	0	0	0	1	0	1	0	1	0	1	1	7	1	3	0	1	1	0	0	0	3
3067	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	4	0	4	0	3	0	0	0	0	0
3033	0	0	0	1	1	1	0	0	0	0	1	1	1	1	0	3	0	1	0	2	0	0	1	0	0
1076	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	5	0	4	2	2	0	0	1	0	0
3065	0	0	0	1	1	1	0	0	0	0	1	1	1	0	0	5	0	4	0	3	0	1	0	0	2
3573	0	1	0	0	1	1	0	0	0	0	1	1	1	0	0	3	0	2	0	2	0	0	0	0	0
3584	1	0	0	0	0	0	0	1	0	1	0	1	1	0	0	2	0	5	0	2	1	0	0	0	0
3074	0	1	0	0	0	1	0	0	0	0	1	1	0	1	1	2	1	2	0	1	0	1	0	0	1
2492	0	0	1	0	0	0	1	0	0	1	0	1	1	0	0	2	0	3	1	2	0	1	0	0	0
3524	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	6	0	1	0	2	1	0	0	1	3
3065	0	0	1	0	1	0	1	0	0	0	1	1	0	0	0	7	0	3	2	1	0	1	0	0	2
3025	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	2	0	4	1	2	0	0	0	0	1
3051	0	0	1	0	1	0	1	0	0	0	1	1	0	0	0	6	0	3	1	2	0	1	0	0	0
3032	0	0	0	1	0	1	0	0	0	1	0	0	1	1	0	3	0	3	1	2	1	0	0	0	1
3022	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	4	0	1	0	2	1	0	0	0	0
3083	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	4	0	3	1	2	0	1	0	0	1
3021	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	2	1	1	0	1	0	1	0	0	1
3583	0	1	0	0	1	1	0	0	0	0	1	1	1	0	1	7	0	2	0	2	0	0	1	0	3
2547	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	7	0	0	0	0	0	0	0	0	4
1054	0	0	0	1	1	1	0	0	0	1	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1
3552	0	0	0	1	0	0	1	0	0	0	1	1	1	0	0	2	0	1	0	1	0	0	0	0	1
